country,name,longName,foundingDate,population,capital,largestCity,area
1587,Gibraltar,Gibraltar,1713-04-11,32194,,,2.6mi
1611,Gold Coast Region,Gold Coast,,25366462,,,238535km
1661,Flandrensis,Grand Duchy of Flandrensis,9/4/2008,237,,,14890km
1673,Lagoan Isles,Grand Duchy of the Lagoan Isles,8/16/2005,,,,0.043km
1678,Grande Comore,Autonomous Island of Grande Comore,,316600,"Moroni, Comoros",,1025km
1687,Greece,Hellenic Republic,1821-03-25,10955000,Athens,,50949mi
1688,Greece,Hellenic Republic,1830-02-03,10955000,Athens,,50949mi
1690,Greenland,Greenland,,55847,,,836109mi
1691,Grenada,,3/3/1967,109590,"St. George's, Grenada",,132.8mi
1692,Grenada,,2/7/1974,109590,"St. George's, Grenada",,132.8mi
1695,Guam,Territory of Guam,,161785,"Hagåtña, Guam",,210mi
1699,Guatemala,Republic of Guatemala,1821-09-15,15806675,Guatemala City,Guatemala City,42042mi
1700,Guatemala,Republic of Guatemala,1823-07-01,15806675,Guatemala City,Guatemala City,42042mi
1702,Guernsey,Jurisdiction of Guernsey,5/9/1945,65849,Saint Peter Port,,30.1mi
1703,Guinea,Republic of Guinea,10/2/1958,8746128,Conakry,,94926mi
1704,Guinea-Bissau,Republic of Guinea-Bissau,9/24/1973,1693398,Bissau,,13948mi
1705,Guinea-Bissau,Republic of Guinea-Bissau,9/10/1974,1693398,Bissau,,13948mi
1716,Guyana,Co-operative Republic of Guyana,,735554,"Georgetown, Guyana",,83000mi
1731,Haiti,Republic of Haiti,1804-01-01,10604000,Port-au-Prince,,10714mi
1732,Haiti,Republic of Haiti,1844-02-27,10604000,Port-au-Prince,,10714mi
1733,The Hajduk Republic of Mijat Tomic,Hajducka Republika Mijata Tomica,6/29/2002,,,,3km
1764,Herm,Herm,,,,,0.77mi
1768,Herzegovina-Neretva,Herzegovina-Neretva Canton,6/12/1996,,Mostar,Mostar,1699mi
1821,Honduras,Republic of Honduras,1821-09-15,8249574,Tegucigalpa,Tegucigalpa,43278mi
1822,Honduras,Republic of Honduras,1823-07-01,8249574,Tegucigalpa,Tegucigalpa,43278mi
1826,Hong Kong,Hong Kong Special Administrative Region of the People's Republic of China,1841-01-26,7234800,,,426mi
1827,Hong Kong,Hong Kong Special Administrative Region of the People's Republic of China,1842-08-29,7234800,,,426mi
1849,Hungary,Hungary,1000-12-25,9855571,Budapest,List of historical capitals of Hungary,35919mi
1850,Hungary,Hungary,10/23/1989,9855571,Budapest,List of historical capitals of Hungary,35919mi
1859,Iceland,Iceland,,,Reykjavík,,39699mi
1868,,Amsterdam Island,,,,,55km
1869,,(New Amsterdam),,,,,55km
1870,,Saint Paul Island,,,,,6km
1871,Les Saintes,,,,"Fond-du-Curé, les Saintes","Petite-Anse, les Saintes",4.9mi
1886,India,Republic of India,8/15/1947,1276267000,New Delhi,Mumbai,1269346mi
1887,India,Republic of India,1/26/1950,1276267000,New Delhi,Mumbai,1269346mi
1898,Indonesia,Republic of Indonesia,8/17/1945,255461700,Jakarta,,735358mi
1926,Iran,Islamic Republic of Iran,,78192200,Tehran,,636372mi
1927,Iraq,Republic of Iraq,10/3/1932,37056169,Baghdad,,169234mi
1928,Iraqi Kurdistan,Kurdistan Region,3/11/1970,8350000,Erbil,,30399mi
1938,Afghanistan,,9/27/1996,,Kabul,,251827mi
1939,Afghanistan,,9/27/1996,,Kandahar,,251827mi
1942,,Islands of Refreshment,1811-02-04,,,,207km
1944,Isle of Man,Isle of Man,,,"Douglas, Isle of Man",,221mi
1946,Israel,State of Israel,5/14/1948,8462000,Jerusalem,,8019mi
1947,Israel,State of Israel,5/11/1949,8462000,Jerusalem,,8019mi
1965,Italy,Italian Republic,1861-03-17,60795612,Rome,,116347mi
1966,Italy,Italian Republic,6/2/1946,60795612,Rome,,116347mi
1967,Ivory Coast,Republic of Côte d'Ivoire,8/7/1960,23919000,Abidjan,Abidjan,124502mi
1968,Ivory Coast,Republic of Côte d'Ivoire,8/7/1960,23919000,Yamoussoukro,Abidjan,124502mi
1975,Jamaica,Jamaica,8/6/1962,2950210,"Kingston, Jamaica",,4244mi
1978,Japan,Japan,0660-02-11,126919659,Tokyo,,377944km
1979,Japan,Japan,1890-11-29,126919659,Tokyo,,377944km
1988,Jersey,Bailiwick of Jersey,5/9/1945,99500,Saint Helier,,45.56mi
2007,Jordan,Hashemite Kingdom of Jordan,6/17/1946,,Amman,,35637mi
2011,Jubaland,Jubaland State of Somalia,4/3/2011,953045,Bu'ale,,33000mi
2012,Jubaland,Jubaland State of Somalia,8/29/2013,953045,Bu'ale,,33000mi
2059,Karakalpakstan,Republic of Karakalpakstan,,1711800,Nukus,,61800mi
2075,Kazakhstan,Republic of Kazakhstan,12/16/1991,17563300,Astana,Almaty,1052085mi
2076,Kazakhstan,Republic of Kazakhstan,12/25/1991,17563300,Astana,Almaty,1052085mi
2081,Kenya,Republic of Kenya,12/12/1963,45010056,Nairobi,Nairobi,224080mi
2082,Kenya,Republic of Kenya,12/12/1964,45010056,Nairobi,Nairobi,224080mi
2085,Kerguelen Islands,Kerguelen Islands,,45,,,7215km
2188,Dagbon,Kingdom of Dagbon,,4228116,"Tamale, Ghana","Tamale, Ghana",97702km
2199,,Kingdom of Elleore,,,,,0.015km
2336,North Sudan,Kingdom of North Sudan,6/16/2014,0,,,2060km
2360,Reino de Redonda,Kingdom of Redonda,,,,,2km
2394,Tavolara,Kingdom of Tavolara,,57,,,5km
2400,the Netherlands,Kingdom of the Netherlands,1795-01-19,17100715,Amsterdam,,16478mi
2401,the Netherlands,Kingdom of the Netherlands,1581-07-26,17100715,Amsterdam,,16478mi
2402,the Netherlands,Kingdom of the Netherlands,1648-01-30,17100715,Amsterdam,,16478mi
2425,Kiribati,Republic of Kiribati,7/12/1979,103500,Tarawa,,313mi
2446,Kosovo,Republic of Kosovo,1/31/1946,1859203,Pristina,,4212mi
2447,Kosovo,Republic of Kosovo,7/2/1990,1859203,Pristina,,4212mi
2463,Kuwait,State of Kuwait,,4187161,Kuwait City,,6880mi
2472,Kyrgyzstan,Kyrgyz Republic,10/14/1924,6000000,Bishkek,Capital city,77181mi
2473,Kyrgyzstan,Kyrgyz Republic,12/5/1936,6000000,Bishkek,Capital city,77181mi
2476,Ladonia,Royal Republic of Ladonia,6/2/1996,,,,1km
2498,Laos,Lao People's Democratic Republic,12/2/1975,6803699,Vientiane,,91429mi
2521,Latvia,Republic of Latvia,11/18/1918,1973700,Riga,,24938mi
2522,Latvia,Republic of Latvia,1/26/1921,1973700,Riga,,24938mi
2539,Lebanon,Lebanese Republic,9/1/1920,5851000,Beirut,Beirut,4036mi
2540,Lebanon,Lebanese Republic,5/23/1926,5851000,Beirut,Beirut,4036mi
2543,Lesotho,Kingdom of Lesotho,10/4/1966,2067000,Maseru,Maseru,11720mi
2552,Liberia,Republic of Liberia,1822-01-07,4503000,Monrovia,Monrovia,43000mi
2553,Liberia,Republic of Liberia,1847-07-26,4503000,Monrovia,Monrovia,43000mi
2554,Liberland,Free Republic of Liberland,4/13/2015,0,,,7km
2555,Libya,Libya,2/10/1947,6411776,Tripoli,,679359mi
2556,Libya,?????,2/10/1947,6411776,Tripoli,,679359mi
2556,Libya,?????,2/10/1947,6411776,Tripoli,,679359mi
2558,Libya,Libya,12/24/1951,6411776,Tripoli,,679359mi
2559,Libya,?????,12/24/1951,6411776,Tripoli,,679359mi
2559,Libya,?????,12/24/1951,6411776,Tripoli,,679359mi
2562,Liechtenstein,Principality of Liechtenstein,1806-07-12,37340,Vaduz,Schaan,61mi
2572,Lithuania,Republic of Lithuania,1009-03-09,2884840,Vilnius,,25212mi
2573,Lithuania,Republic of Lithuania,1253-07-06,2884840,Vilnius,,25212mi
2610,Luxembourg,Grand Duchy of Luxembourg,,562958,Luxembourg City,Capital city,998mi
2615,Macau,Macao Special Administrative Region,1887-12-01,643100,,,11.6mi
2616,Macau,of the People's Republic of China,1887-12-01,643100,,,11.6mi
2619,,,,4760000,,,67000km
2620,Madagascar,Republic of Madagascar,6/26/1960,22434363,Antananarivo,Antananarivo,226597mi
2621,Madagascar,Republic of Madagascar,11/17/2010,22434363,Antananarivo,Antananarivo,226597mi
2638,Malawi,Republic of Malawi,7/6/1964,16407000,Lilongwe,Lilongwe,45747mi
2639,Malawi,Republic of Malawi,7/6/1966,16407000,Lilongwe,Lilongwe,45747mi
2642,,Malaysia,8/31/1957,28334,Kuala Lumpur,,127720mi
2643,,Malaysia,8/31/1957,28334,Putrajaya,,127720mi
2644,,Malaysia,9/16/1963,28334,Kuala Lumpur,,127720mi
2645,,Malaysia,9/16/1963,28334,Putrajaya,,127720mi
2646,Maldives,Republic of Maldives,7/26/1965,393500,Malé,Malé,115mi
2647,Maldives,Republic of Maldives,8/7/2008,393500,Malé,Malé,115mi
2648,Mali,Republic of Mali,6/20/1960,,Bamako,Bamako,478839mi
2649,Mali,Republic of Mali,9/22/1960,,Bamako,Bamako,478839mi
2656,Malta,Republic of Malta,9/21/1964,445426,Valletta,Birkirkara,122mi
2657,Malta,Republic of Malta,12/13/1974,445426,Valletta,Birkirkara,122mi
2703,Marshall Islands,Republic of the Marshall Islands,10/21/1986,72191,Majuro,Capital city,70mi
2712,Mauritania,Islamic Republic of Mauritania,11/28/1960,4067564,Nouakchott,,1030000km
2713,Mauritania,Islamic Republic of Mauritania,7/12/1991,4067564,Nouakchott,,1030000km
2714,Mauritius,Republic of Mauritius,3/12/1968,1261208,Port Louis,,787mi
2715,Mauritius,Republic of Mauritius,3/12/1992,1261208,Port Louis,,787mi
2734,,,3/26/1991,288996820,,,19326961km
2735,,,12/16/1994,288996820,,,19326961km
2739,Mexico,United Mexican States,1810-09-16,119530753,Mexico City,Mexico City,761606mi
2740,Mexico,United Mexican States,1821-09-27,119530753,Mexico City,Mexico City,761606mi
2770,Mohegan,Mohegan Tribe of Native Americans of Connecticut,1638-09-21,1920,"Uncasville, Connecticut",,0.79mi
2771,Mohegan,Mohegan Tribe of Native Americans of Connecticut,3/7/1994,1920,"Uncasville, Connecticut",,0.79mi
2772,Mohéli,Autonomous Island of Mohéli,,38000,Fomboni,,211km
2779,Moldova,Republic of Moldova,6/23/1990,2913281,Chi?inau,,13067mi
2780,Moldova,Republic of Moldova,8/27/1991,2913281,Chi?inau,,13067mi
2781,Monaco,Principality of Monaco,1814-05-17,37800,Monaco City,,0.78mi
2789,Mongolia,Mongolia,,3042511,Ulaanbaatar,,603909mi
2792,Montenegro,Montenegro,1852-01-01,,Podgorica,,5332mi
2793,Montserrat,Montserrat,,4900,"Plymouth, Montserrat",Brades,39mi
2794,Montserrat,Montserrat,,4900,Little Bay (Montserrat),Brades,39mi
2795,Montserrat,Montserrat,,4900,Brades,Brades,39mi
2797,Morocco,Kingdom of Morocco,,,Rabat,Casablanca,274460mi
2801,Mount Athos,,,,"Karyes, Mount Athos",,129.59mi
2803,Mozambique,Republic of Mozambique,6/25/1975,24692144,Maputo,,309496mi
2804,Mozambique,Republic of Mozambique,11/30/1990,24692144,Maputo,,309496mi
2814,,Murrawarri Republic,3/30/2013,,"Barringun, Queensland",,81000km
2820,Myanmar,Republic of the Union of Myanmar,1510-10-16,,Naypyidaw,Yangon,261227mi
2821,Myanmar,Republic of the Union of Myanmar,0849-12-23,,Naypyidaw,Yangon,261227mi
2827,Nagorno-Karabakh,Nagorno-Karabakh,,146573,,,1700mi
2828,Nagorno-Karabakh,",",,146573,,,1700mi
2829,Nagorno-Karabakh,Nagorno-Karabakh Republic,9/2/1991,146600,Stepanakert,Stepanakert,4424mi
2830,Nakhchivan,Nakhchivan Autonomous Republic,2/9/1924,414900,Nakhchivan (city),,2071mi
2831,Nakhchivan,Nakhchivan Autonomous Republic,11/17/1990,414900,Nakhchivan (city),,2071mi
2835,Namibia,,2/9/1990,,Windhoek,,318696mi
2836,Namibia,,3/21/1990,,Windhoek,,318696mi
2851,Nauru,Republic of Nauru,1/31/1968,,Yaren District,,8.1mi
2866,Nepal,Federal Democratic Republic of Nepal,1768-09-25,,Kathmandu,,56827mi
2867,Nepal,Federal Democratic Republic of Nepal,1/15/2007,,Kathmandu,,56827mi
2869,the Netherlands,Netherlands,1581-07-26,16971452,Amsterdam,,16033mi
2870,the Netherlands,Netherlands,1648-01-30,16971452,Amsterdam,,16033mi
2879,Nevis,State of Nevis,9/19/1983,,"Charlestown, Saint Kitts and Nevis",,35.9mi
2880,New Caledonia,New Caledonia,,,Nouméa,,18576km
2899,New Zealand,New Zealand,1856-05-07,4596700,Wellington,Auckland,103483mi
2900,New Zealand,New Zealand,9/26/1907,4596700,Wellington,Auckland,103483mi
2905,Nicaragua,Republic of Nicaragua,1850-07-25,,Managua,,50193mi
2906,Nicaragua,Republic of Nicaragua,1821-09-15,,Managua,,50193mi
2911,Niger,Republic of Niger,8/3/1960,,Niamey,Niamey,489678mi
2913,Nigeria,Federal Republic of Nigeria,10/1/1960,182202000,Abuja,Lagos,356667mi
2916,,,,500000,,Bakhdida,4197km
2917,Niue,Niue,10/19/1974,1190,"Alofi, Niue",,260km
2924,,Nordic countries,,26613758,,,3425804km
2925,Norfolk Island,Territory of Norfolk Island,,2210,"Kingston, Norfolk Island",Burnt Pine,13.3mi
2932,North Korea,Democratic People's Republic of Korea,8/15/1945,24895000,Pyongyang,Pyongyang,46528mi
2935,North-Eastern Rhodesia,,1/29/1900,,Chipata,,109000mi
2937,Northern Cyprus,Turkish Republic of Northern Cyprus,11/15/1983,313626,North Nicosia,,1295mi
2943,Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,,52344,"Capitol Hill, Saipan",,179mi
2961,Norway,Kingdom of Norway,4/9/1940,5214900,Oslo,,148718mi
2994,Oghuz State,,,,Jankent,,1500000km
3001,Oman,Sultanate of Oman,,4298320,"Muscat, Oman","Muscat, Oman",119498mi
3011,,,3/20/1970,1000000000,,,10900000mi
3012,,,11/16/1997,1000000000,,,10900000mi
3015,,,8/1/1975,1229503230,,,50119801km
3027,,,,,,,119394km
3030,,,,40000000,,,5390970mi
3035,Pakistan,Islamic Republic of Pakistan,12/29/1930,199085847,Islamabad,Karachi,340509mi
3036,Pakistan,Islamic Republic of Pakistan,1/28/1933,199085847,Islamabad,Karachi,340509mi
3045,Palau,Republic of Palau,7/18/1947,17948,Ngerulmud,Koror,179.75mi
3046,Palau,Republic of Palau,4/2/1979,17948,Ngerulmud,Koror,179.75mi
3049,Palestinian territories,Palestinian territories,,,,,2402mi
3059,,Republic of Panama,1821-11-28,3929141,Panama City,Panama City,74177.3km
3060,,Republic of Panama,11/3/1903,3929141,Panama City,Panama City,74177.3km
3070,Papua New Guinea,Independent State of Papua New Guinea,7/1/1949,7059653,Port Moresby,Port Moresby,178703mi
3071,Papua New Guinea,Independent State of Papua New Guinea,9/16/1975,7059653,Port Moresby,Port Moresby,178703mi
3072,Paraguay,Republic of Paraguay,1811-05-14,7012433,Asunción,Asunción,406752km
3073,Paraguay,Republic of Paraguay,1811-05-15,7012433,Asunción,Asunción,406752km
3074,Paraguay,Republic of Paraguay,,6802000,Asunción,Asunción,406752km
3112,Peru,Republic of Peru,1821-07-28,31151643,Lima,Lima,496225mi
3113,Peru,Republic of Peru,1824-12-09,31151643,Lima,Lima,496225mi
3116,Peter I Island,Peter I Island,2/2/1929,,,,154km
3117,Peter I Island,Peter I Island,3/6/1931,,,,154km
3138,Pitcairn Islands,Pitcairn,,56,"Adamstown, Pitcairn Islands",,18.1mi
3140,Poland,Republic of Poland,0966-04-14,38483957,Warsaw,,120696mi
3141,Poland,Republic of Poland,1025-04-18,38483957,Warsaw,,120696mi
3142,Poland,Republic of Poland,4/8/1945,38483957,Warsaw,,120696mi
3157,Portugal,Portuguese Republic,4/25/1974,10427301,Lisbon,,35603mi
3175,Canton 10,Posavina Canton,6/12/1996,,Orašje,Odžak,125.5mi
3238,PHR,Principality of Hutt River,4/21/1970,,Nein,,75km
3265,Orange,,,,"Orange, Vaucluse",,108mi
3267,Old Baldy,Grand Principality of Outer Baldonia,,,,,0.016km
3285,Sealand,Principality of Sealand,9/2/1967,,,,0.025km
3286,Seborga,Principality of Seborga,,,Seborga,,14km
3308,,Principality of Wy,11/15/2004,,,,0.0007km
3316,,Province of Bumbunga,3/29/1976,,,,0.04km
3378,Puerto Rico,Commonwealth of Puerto Rico,1898-12-10,3474182,"San Juan, Puerto Rico",,3515mi
3379,Puerto Rico,Commonwealth of Puerto Rico,3/2/1917,3474182,"San Juan, Puerto Rico",,3515mi
3380,Puntland,Puntland Goverment,8/1/1998,4284633,Garoowe,Bosaso,82050mi
3387,Qatar,State of Qatar,1878-12-18,2423175,Doha,Doha,4467.6mi
3388,Qatar,State of Qatar,9/1/1971,2423175,Doha,Doha,4467.6mi
3398,Queen Maud Land,Queen Maud Land,1/19/1939,,,,2700000km
3399,Queen Maud Land,Queen Maud Land,1/14/1939,,,,2700000km
3477,,Ireland,4/24/1916,4635400,Dublin,,27133mi
3478,,Ireland,1/21/1919,4635400,Dublin,,27133mi
3481,Lakotah,Republic of Lakotah,12/19/2007,100000,Republic of Lakotah,"Omaha, Nebraska",77220mi
3485,Republic of Macedonia,Republic of Macedonia,8/13/1903,2069162,Skopje,,9779mi
3486,Republic of Macedonia,Republic of Macedonia,3/8/1946,2069162,Skopje,,9779mi
3492,Molossia,Republic of Molossia,9/3/1999,,,,0.002mi
3503,,Republic of Rose Island,6/24/1968,,,,0.0004km
3506,,Republic of Saugeais,,4337,Montbenoît,,40km
3522,the Republic of the Congo,Republic of the Congo,8/15/1960,4662446,Brazzaville,Brazzaville,132047mi
3532,,Republic of Vevcani,9/19/1991,3656,,,22.8km
3538,Republika Srpska,Republika Srpska,1/9/1992,,Sarajevo,Istocno Sarajevo,9597mi
3539,Republika Srpska,Republika Srpska,1/9/1992,,Banja Luka,Istocno Sarajevo,9597mi
3540,Republika Srpska,Republika Srpska,12/14/1995,,Sarajevo,Istocno Sarajevo,9597mi
3541,Republika Srpska,Republika Srpska,12/14/1995,,Banja Luka,Istocno Sarajevo,9597mi
3588,Romania,Romania,1859-01-24,19511000,Bucharest,,92043mi
3592,Ross Dependency,Ross Dependency,,10,New Zealand,,174000mi
3593,Ross Dependency,Ross Dependency,,10,United States,,174000mi
3594,Ross Dependency,Ross Dependency,,10,McMurdo Station,,174000mi
3595,Ross Dependency,Ross Dependency,,10,Scott Base,,174000mi
3600,Rotuma,Rotuma Island,10/10/1970,,,,46km
3611,Russia,Russian Federation,12/12/1993,144192450,Moscow,,6592800mi
3621,Rwanda,Republic of Rwanda,7/1/1962,11262564,Kigali,Kigali,10169mi
3627,,,,11330944,,,25251mi
3635,Sahrawi Arab Democratic Republic,Sahrawi Arab Democratic Republic,11/14/1975,100000,Laayoune,Laayoune,102703mi
3636,Sahrawi Arab Democratic Republic,Sahrawi Arab Democratic Republic,11/14/1975,100000,Tifariti,Laayoune,102703mi
3637,Sahrawi Arab Democratic Republic,Sahrawi Arab Democratic Republic,2/27/1976,100000,Laayoune,Laayoune,102703mi
