country,name,longName,foundingDate,population,capital,largestCity,area
14,Abkhazia,Republic of Abkhazia,6/20/1990,242862,Sukhumi,,3344mi
15,Abkhazia,Republic of Abkhazia,8/25/1990,242862,Sukhumi,,3344mi
16,Abkhazia,Republic of Abkhazia,8/26/2008,242862,Sukhumi,,3344mi
17,Abyei,Abyei Area,1/9/2005,,Abyei (town),,4072mi
18,Abyei,Abyei Area,8/31/2008,,Abyei (town),,4072mi
31,Adélie Land,Adélie Land,,,,,432000km
36,Adjara,Autonomous Republic of Ajara,,393700,Batumi,,1120mi
38,Aerica,Aerican Empire,5/8/1987,,Montreal,,9000000km
41,Afghanistan,Islamic Republic of Afghanistan,8/19/1919,32564342,Kabul,Kabul,251827mi
42,Afghanistan,font-size:88%;,8/19/1919,32564342,Kabul,Kabul,251827mi
44,,,6/3/1991,1053136000,,Nigeria,29865860km
45,,,6/3/1991,1053136000,,Lagos,29865860km
63,Akrotiri and Dhekelia,Sovereign Base Areas,,7700,Episkopi Cantonment,,98mi
64,Akrotiri and Dhekelia,of,,7700,Episkopi Cantonment,,98mi
65,Akrotiri and Dhekelia,Akrotiri and Dhekelia,,7700,Episkopi Cantonment,,98mi
68,Åland,Åland Islands,5/7/1920,28666,Mariehamn,,610mi
73,,Republic of Albania,4/7/1939,2893005,Tirana,Tirana,11100mi
74,,Republic of Albania,11/29/1941,2893005,Tirana,Tirana,11100mi
82,Alderney,Alderney,,2013,"Saint Anne, Alderney",,3mi
84,,People's Democratic Republic of Algeria,7/3/1962,40400000,Algiers,,919595mi
85,,People's Democratic Republic of Algeria,7/5/1962,40400000,Algiers,,919595mi
106,American Samoa,Territory of American Samoa,1889-06-14,54343,Pago Pago,,76.83mi
107,American Samoa,Territory of American Samoa,1899-12-02,54343,Pago Pago,,76.83mi
116,,Principality of Andorra,,85470,Andorra la Vella,,180.55mi
124,,Republic of Angola,11/11/1975,,Luanda,,481354mi
125,Anguilla,Anguilla,,13600,"The Valley, Anguilla",,91km
131,Anjouan,Autonomous Island of Anjouan,,277500,Mutsamudu,,163mi
134,,Antigua and Barbuda,2/27/1967,91295,"St. John's, Antigua and Barbuda",,170mi
135,,Antigua and Barbuda,11/1/1981,91295,"St. John's, Antigua and Barbuda",,170mi
143,,League of Arab States,3/22/1945,423000000,,,5070420mi
158,Argentina,Argentine Republic,1810-05-25,43417000,Buenos Aires,,2780400km
159,Argentina,Argentine Republic,1816-07-09,43417000,Buenos Aires,,2780400km
163,Armenia,Republic of Armenia,,,Yerevan,,11484mi
175,Aruba,Aruba,3/18/1986,103400,"Oranjestad, Aruba",,69.08mi
176,Ascension Island,Ascension Island,9/12/1922,880,"Georgetown, Ascension Island",,88km
180,Ashantiland,(Asanteman),,11700000,Kumasi,Kumasi,120761km
181,Ashantiland,Ashantiland,,11700000,Kumasi,Kumasi,120761km
182,Ashantiland,(Kingdom of Ashanti),,11700000,Kumasi,Kumasi,120761km
185,,,8/8/1967,625000000,,,1712602mi
186,,,12/16/2008,625000000,,,1712602mi
203,Austenasia,Empire of Austenasia,9/20/2008,,Carshalton,,0.2327km
204,Australia,Commonwealth of Australia,1/1/1901,,Canberra,Sydney,7692024km
205,Australia,Commonwealth of Australia,9/3/1939,,Canberra,Sydney,7692024km
206,Australia,Commonwealth of Australia,10/9/1942,,Canberra,Sydney,7692024km
207,the Australian Antarctic Territory,Australian Antarctic Territory,,,Davis Station,,5896500km
209,Austria,Republic of Austria,,8662588,Vienna,,32385.9mi
221,Kosovo and Metohija,Kosovo and Metohija,,1804838,Pristina,,4212mi
222,Kosovo and Metohija,Autonomous Province of,,1804838,Pristina,,4212mi
224,Crimea,Autonomous Republic of Crimea,2/12/1991,,Simferopol,,10038mi
225,Crimea,Autonomous Republic of Crimea,10/21/1998,,Simferopol,,10038mi
230,Avatele,,,,,,5.4mi
231,Awdalland,Awdalland,,,Borama,,6122km
251,Azerbaijan,Republic of Azerbaijan,5/28/1918,9624900,Baku,,33436mi
252,Azerbaijan,Republic of Azerbaijan,4/28/1920,9624900,Baku,,33436mi
280,Bahrain,Kingdom of Bahrain,8/14/1971,1343000,Manama,,295.37mi
281,Bahrain,Kingdom of Bahrain,8/15/1971,1343000,Manama,,295.37mi
282,Guernsey,Bailiwick of Guernsey,,65849,,,30.1mi
293,,Baltic states,,6177650,,,67523mi
297,Bangladesh,People's Republic of Bangladesh,8/14/1947,168957745,Dhaka,Dhaka,56977mi
298,Bangladesh,People's Republic of Bangladesh,3/23/1956,168957745,Dhaka,Dhaka,56977mi
306,Barbados,Barbados,11/30/1966,,Bridgetown,,166mi
309,Barotseland,Kingdom of Barotseland,,5153405,,,368823km
310,Barotziland-North-Western Rhodesia,,1899-11-28,,"Livingstone, Zambia",,182000mi
311,Barotziland-North-Western Rhodesia,,1899-11-28,,Kalomo,,182000mi
